54651-2J001;;AMORTECEDOR DE FRENTE MOAVE 14-15 L+R;0;54000,00;;;54651-2J300
334381;;AMORTECEDOR DE FRENTE MURANO 03-08 F/L;0;55000,00;;;54303-CA125 / SHB-3405
334380;;AMORTECEDOR DE FRENTE MURANO 03-08 F/R;0;55000,00;;;54302-CA125 / SHB-3404
E4089;;AMORTECEDOR DE FRENTE N/PATROL 98-09 FR;0;44444,00;;;344360 / SH-1191-G
E6110-1LB0A NEWMAN;GS45-110;AMORTECEDOR DE FRENTE N/PATROL 10- FR Y62;7;73500,00;;;
U3813;;AMORTECEDOR DE FRENTE NAVARA 4WD 07- FR;0;50000,00;;;56110-EB71/70A / 340053 / 3213-0104 / SHU-8150
341445;;AMORTECEDOR DE FRENTE PAJERO 07-12 FR;0;68500,00;;;U35070 / SHU-8128 / 4062A024 / 4062A023
741071;;AMORTECEDOR DE FRENTE PARDO TXL 09-013 ELECTRICO;0;145000,00;;;
335023 KYB;;AMORTECEDOR DE FRENTE PATHFINDER 96-05 F/L;1;45000,00;;;SHB-3486 / TERRANO / 335031 / 4214-0139 / 335016
335022 KYB;;AMORTECEDOR DE FRENTE PATHFINDER 96-05 F/R;1;45000,00;;;335015 / TERRANO / 335030 / 4214-0140 / SHB-3478
54650-07100 SSP;;AMORTECEDOR DE FRENTE PICANTO / I10 04-11 F/L;9;32000,00;;;332501 / SHB-3058 / 54650-0X100
54660-07100 SSP;;AMORTECEDOR DE FRENTE PICANTO / I10 04-11 F/R;9;32000,00;;;332500 / SHB-3059 / 54660-0X100
54660-1Y000 SECO;;AMORTECEDOR DE FRENTE PICANTO 12-13 F/R;0;45000,00;;;54660-1Y200 / FS218-5 / SHB-3649
340085;;AMORTECEDOR DE FRENTE PRADO 2017-;0;70000,00;;;E4057 / 48510-80873 / 4851080498 / 340085
341232 SENSEN;SHU-8061;AMORTECEDOR DE FRENTE PRADO 96-02 FR / 4RUNNER;1;35000,00;;;LEFT/RIGHT / 3214-0009 / 48511-3D140 / SHU-8061
U3785 TOKICO;;AMORTECEDOR DE FRENTE PRADO TXL 02-09 / 4RUNNER / FJ CRUISER 2006-;4;60000,00;;;
U3785;;AMORTECEDOR DE FRENTE PRADO TXL 02-09 / 4RUNNER / FJ CRUISER 2006-;0;60000,00;;;
335041;;AMORTECEDOR DE FRENTE RAV4 01-05 F/L;0;44000,00;;;SHB-3495 / B3286
334332 SP;;AMORTECEDOR DE FRENTE RAV4 01-05 F/L;0;44000,00;;;48520-42090 / SHB-3377
334331 DYN;;AMORTECEDOR DE FRENTE RAV4 01-05 F/L;1;44000,00;;;B3285 / SHB-3376
334332 DYN;;AMORTECEDOR DE FRENTE RAV4 01-05 F/R;1;44000,00;;;SHB-3377 / B3286
335040;;AMORTECEDOR DE FRENTE RAV4 01-05 F/R;0;44000,00;;;SHB-3494 / B3285
334331 SP;;AMORTECEDOR DE FRENTE RAV4 01-05 F/R;0;44000,00;;;48510-42090 / SHB-3376
339032 NEKO;;AMORTECEDOR DE FRENTE RAV4 06-12 F/L;4;33500,00;;;SHB-3523 / B3245
339032 SSP;48520-80285;AMORTECEDOR DE FRENTE RAV4 06-12 F/L;8;33500,00;;;SHB-3523 / B3245
339031 NEKO;;AMORTECEDOR DE FRENTE RAV4 06-12 F/R;4;33500,00;;;SHB-3522 / B3246
339031 SSP;48510-80285;AMORTECEDOR DE FRENTE RAV4 06-12 F/R;8;33500,00;;;SHB-3522 / B3246
334242;;AMORTECEDOR DE FRENTE RAV4 95-00 F/L;1;40000,00;;;48520-49016 / 334483/4214-0217 / SHB-3333 / SHB-3454
334241;;AMORTECEDOR DE FRENTE RAV4 95-00 F/R;1;40000,00;;;48510-49016 / 334482 / 4214-0216 / SHB-3332
E2154;;AMORTECEDOR DE FRENTE SAMURAI SJ410 81-97 FR / JIMMY FR;0;30000,00;;;443335 / 553107 / 343185 / SH-1009-G
54651-2P600 EF;;AMORTECEDOR DE FRENTE SANTAFE;1;42500,00;;;
54661-2P600 EF;;AMORTECEDOR DE FRENTE SANTAFE;1;42500,00;;;
54650-2P100;;AMORTECEDOR DE FRENTE SANTAFE / SORENTO 10-12 F/L;0;48500,00;;;54650-2P600 / SF2085(4) / SMALL PLATE CAR:SANTAFE 011- / SHB-3581
54660-2P100;;AMORTECEDOR DE FRENTE SANTAFE / SORENTO 10-12 F/R;0;48500,00;;;SF2086(5) / SMALL PLATE CAR:SANTAFE 011- / SHB-3582
54650-2B200 BAICK;54650-2B540;AMORTECEDOR DE FRENTE SANTAFE 06-12 F/L / VERACRUZE;1;45000,00;;;54650-2B500 / SHB-3466 / 334507
54650-2B200 SHOULD;54650-2B540;AMORTECEDOR DE FRENTE SANTAFE 06-12 F/L / VERACRUZE;1;45000,00;;;54650-2B500 / SHB-3466 / 334507
54660-2B200 SHOLUD;54660-2B540;AMORTECEDOR DE FRENTE SANTAFE 06-12 F/R / VERACRUZ;1;45000,00;;;54660-2B500 / SHB-3465 / 334506
54661-2W200 LNKG;;AMORTECEDOR DE FRENTE SANTAFE 13- F/L;5;58500,00;;;335624 / MOBIS:SF1321 / SHB-3680
54651-2W200 LNKG;;AMORTECEDOR DE FRENTE SANTAFE 13- F/R;5;58500,00;;;335625 / MOBIS:SF1320 / SHB-3679
54651-2T010;;AMORTECEDOR DE FRENTE SONATA 11-13 F/L / CADENZA;0;56500,00;;;54651-2T022 / SHB-3575
